"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"648","6","TISSUES","","Lymphocyte","0.0044","HNRNPA1|ANXA2|KCNA3|HNRNPK|RPL32|EIF3L","9858","6313|6336|6310|6314|6270|6298","2.53E-5","","BTO:0000775","0.39825280490794696","0"
"68","3","TISSUES","","Pharynx","0.0045","EEF1A1|ANXA2|S100A8","9858","6342|6336|6331","4.24E-5","","BTO:0001049","0.3966034076999775","0"
"446","5","TISSUES","","Prostate gland","0.0057","EEF1A1|HNRNPA1|ANXA2|RPL32|EIF3L","9858","6342|6313|6336|6270|6298","5.64E-5","","BTO:0001129","0.37925363279369895","0"
"1162","7","TISSUES","","Lung","0.0062","TERF2IP|TUBA1C|EEF1A1|HNRNPA1|ANXA2|SOD2|EIF3L","9858","6316|6237|6342|6313|6336|6330|6298","7.07E-5","","BTO:0000763","0.3730823450998951","0"
"235","4","TISSUES","","Lymphoblast","0.0062","ANXA2|HNRNPK|RPL32|EIF3L","9858","6336|6314|6270|6298","7.26E-5","","BTO:0000772","0.3730823450998951","0"
"1176","7","TISSUES","","Placenta","0.0062","DYNC1LI2|TUBA1C|EEF1A1|HNRNPA1|ANXA2|RPL32|EIF3L","9858","6280|6237|6342|6313|6336|6270|6298","7.63E-5","","BTO:0001078","0.3730823450998951","0"
"482","5","TISSUES","","Mouth","0.0062","EEF1A1|ANXA2|S100A8|HNRNPK|SOD2","9858","6342|6336|6331|6314|6330","8.11E-5","","BTO:0001090","0.3730823450998951","0"
"1675","8","TISSUES","","Blood","0.0064","EEF1A1|HNRNPA1|ANXA2|S100A8|KCNA3|HNRNPK|RPL32|EIF3L","9858","6342|6313|6336|6331|6310|6314|6270|6298","9.32E-5","","BTO:0000089","0.3707521466283939","0"
"249","4","TISSUES","","Colonic cancer cell","0.0064","EEF1A1|HNRNPA1|ANXA2|HNRNPK","9858","6342|6313|6336|6314","9.05E-5","","BTO:0000586","0.3707521466283939","0"
"252","4","TISSUES","","Thymus","0.0064","EEF1A1|HNRNPK|RPL32|EIF3L","9858","6342|6314|6270|6298","9.47E-5","","BTO:0001374","0.3707521466283939","0"
