"PC1","PC2","group","Diet","name"
6.96069974977984,-1.88685552452608,"Control","Control","C01"
13.1711324048459,-1.84184006065156,"Control","Control","C02"
9.83394500799274,-0.739615459438478,"Control","Control","C03"
13.0302078107687,-2.30123303478564,"Control","Control","C04"
10.5507033211506,-3.42881816338489,"Control","Control","C05"
9.10926221894283,-0.998059274817846,"Control","Control","C06"
6.15484689419545,1.42519071030934,"Control","Control","C07"
7.92006553257033,-0.312276147785962,"Control","Control","C08"
-119.88992318912,157.111223085508,"Control","Control","C09"
0.967236157053197,-3.30520447792324,"Control","Control","C10"
6.87417517827451,0.293777578242533,"Carcass","Carcass","Car1"
5.79208311151555,-0.982072838336221,"Carcass","Carcass","Car2"
11.9519814949426,-0.845890014988701,"Various","Various","Var1"
3.64310436975008,2.45831714438408,"Various","Various","Var2"
8.54551750612915,-0.562360796297148,"1st.gen.VitE","1st.gen.VitE","VE1.1"
10.6984609114718,-1.3985661460557,"1st.gen.VitE","1st.gen.VitE","VE1.2"
7.73364691113709,-0.429516470918413,"2d.gen.VitE","2d.gen.VitE","VE2.01"
3.43053181575888,-4.00567397617146,"2d.gen.VitE","2d.gen.VitE","VE2.02"
10.1010146378583,-0.866364717032584,"2d.gen.VitE","2d.gen.VitE","VE2.03"
10.4110004565313,-1.94001790859322,"2d.gen.VitE","2d.gen.VitE","VE2.04"
11.24876546449,-1.25863241819538,"2d.gen.VitE","2d.gen.VitE","VE2.05"
10.4426789224915,-1.08224513168719,"2d.gen.VitE","2d.gen.VitE","VE2.06"
7.05242818183764,1.19680851788176,"2d.gen.VitE","2d.gen.VitE","VE2.07"
9.00791432628277,0.953877423574382,"2d.gen.VitE","2d.gen.VitE","VE2.08"
10.6828387901032,-1.19157378677246,"2d.gen.VitE","2d.gen.VitE","VE2.09"
6.44541371162963,-1.07912415267024,"2d.gen.VitE","2d.gen.VitE","VE2.10"
17.8433820079922,-6.86402904537973,"2d.gen.VitE","2d.gen.VitE","VE2.11"
9.22481008852531,-0.981733898921095,"2d.gen.VitE","2d.gen.VitE","VE2.12"
8.77524769394123,-0.117107039837942,"2d.gen.VitE","2d.gen.VitE","VE2.13"
-158.422396056613,-121.344701975443,"Wild","Wild","W1"
7.32614348746909,-0.772667699499249,"Wild","Wild","W2"
11.0813053689533,-1.47584052901581,"Wild","Wild","W3"
12.3017757113485,-1.42717377077033,"Wild","Wild","W4"
