Gene_Symbol,geneid,log2FoldChange,FoldChange,pvalue,padj,expression
PPIB,MUSNIGG00022808,3.016556873,8.092339648,0.004564073,0.139620459,UP
OR10G2,MUSNIGG00022912,1.601496054,3.034578317,0.010602508,0.195599794,UP
OR4N5,MUSNIGG00023014,1.747057154,3.356731527,0.030503805,0.29155289,UP
OLFR1311,MUSNIGG00023046,2.26101761,4.793294593,0.016732357,0.236416612,UP
SPINT1,MUSNIGG00023162,3.359049387,10.26064406,0.045598965,0.341220564,UP
TRIM69,MUSNIGG00023236,1.373735371,2.591406554,0.0333195,0.302383832,UP
CDH24,MUSNIGG00023426,4.234692486,18.82649446,0.015821094,0.233721427,UP
ACIN1,MUSNIGG00023427,2.649471153,6.274372374,0.005248088,0.145232541,UP
ZFHX2,MUSNIGG00023447,2.904709241,7.48866857,0.041174506,0.325706321,UP
BUB1,MUSNIGG00023833,2.207731477,4.619483253,0.008652587,0.180875032,UP
FBXO34,MUSNIGG00023834,2.543483557,5.829950188,0.003473928,0.125429538,UP
PPM1A,MUSNIGG00023899,1.732954714,3.324079103,0.038825926,0.316730884,UP
SIX4,MUSNIGG00023909,1.783851964,3.443443402,0.017126781,0.236660975,UP
CCDC88C,MUSNIGG00024063,3.886180834,14.78621441,0.009158316,0.184074585,UP
CALM2,MUSNIGG00024072,3.696026058,12.96028967,0.041832993,0.327877132,UP
OLFR214,MUSNIGG00025228,1.664840729,3.170786478,0.039320408,0.318668397,UP
PHF21A,MUSNIGG00025309,2.616357395,6.131998717,0.014743439,0.225221108,UP
D3ERTD254E,MUSNIGG00025404,2.237749738,4.716608116,0.009300943,0.184207544,UP
OR13A1,MUSNIGG00025864,1.9474478,3.856916199,0.021986206,0.265362045,UP
OR13A1,MUSNIGG00026437,2.870946802,7.315450961,0.001819631,0.093611331,UP
SLC25A15,MUSNIGG00026608,3.371042498,10.34629623,0.01653304,0.236416612,UP
OR9G1,MUSNIGG00026665,1.575777868,2.98096176,0.036106752,0.30636889,UP
PMS1,MUSNIGG00026936,1.434999583,2.703820885,0.036258466,0.30636889,UP
INPP1,MUSNIGG00026945,2.664910971,6.341881721,0.037970372,0.314741984,UP
ARPC2,MUSNIGG00027318,3.632731033,12.40397857,0.001957691,0.09716541,UP
HSP90AA1,MUSNIGG00027391,2.34446549,5.078721945,0.018700286,0.247842477,UP
TRIP12,MUSNIGG00027498,1.716311461,3.285952126,0.03966714,0.319825639,UP
LRRFIP1,MUSNIGG00027626,4.490222929,22.47459058,5.12E-05,0.022317612,UP
PKP4,MUSNIGG00027810,1.962978062,3.898659239,0.023929071,0.268182029,UP
TIGD1,MUSNIGG00028102,1.779743724,3.433651748,0.044689991,0.338585848,UP
LRP1B,MUSNIGG00028222,1.896632614,3.723430978,0.01309473,0.216642057,UP
