Gene_Symbol,geneid,log2FoldChange,FoldChange,pvalue,padj,expression
ZNF827,MUSNIGG00032575,-3.213708504,-9.277322567,0.006338786,0.453096392,DOWN
LRBA,MUSNIGG00032632,-3.74111982,-13.37178186,0.000155173,0.083802238,DOWN
GAR1,MUSNIGG00033148,-4.180590694,-18.13356521,0.005815342,0.424163908,DOWN
TADA1,MUSNIGG00034639,-8.992395227,-509.3082324,0.041281483,0.997485416,DOWN
SWT1,MUSNIGG00034879,-3.603525367,-12.15539918,0.000792809,0.157416593,DOWN
DEGS1,MUSNIGG00035041,-4.273255647,-19.33651164,0.024729996,0.997485416,DOWN
NAV1,MUSNIGG00035195,-3.417791544,-10.68704833,0.009765937,0.581724328,DOWN
OR2K2,MUSNIGG00036354,-3.492758222,-11.2570603,0.009134223,0.581724328,DOWN
ATIC,MUSNIGG00036947,-2.384379045,-5.221191396,0.045290222,0.997485416,DOWN
NPAP1,MUSNIGG00037076,-3.357224884,-10.24767615,0.036385606,0.997485416,DOWN
ZNF169,MUSNIGG00037344,-2.93087049,-7.625703774,0.031823326,0.997485416,DOWN
FAM179A,MUSNIGG00037985,-7.473204527,-177.6882566,0.000537264,0.120011364,DOWN
SLC4A5,MUSNIGG00038418,-6.492113654,-90.0162559,0.003858914,0.33956235,DOWN
RSC1A1,MUSNIGG00040385,-3.219828283,-9.316759698,0.020714435,0.997485416,DOWN
S100A10,MUSNIGG00042130,-4.183769693,-18.17356683,0.012766945,0.681030754,DOWN
SERPINB9,MUSNIGG00042222,-4.731985033,-26.57476508,0.006478346,0.453992307,DOWN
TRIM38,MUSNIGG00042588,-2.618485068,-6.141048803,0.043707434,0.997485416,DOWN
SMAP1,MUSNIGG00043025,-3.577385333,-11.93714011,0.014839646,0.74699852,DOWN
LRFN2,MUSNIGG00043405,-3.387377025,-10.46410506,0.045024755,0.997485416,DOWN
DNAH8,MUSNIGG00043432,-3.694076052,-12.94278384,0.007319086,0.484415055,DOWN
MAP7,MUSNIGG00043716,-6.184501724,-72.73116216,0.000475261,0.114625374,DOWN
